Face ID,Detection Time,Bounding Box
2,15:54:32,"(272, 171, 162, 162)",N/A,N/A,No
2,15:54:32,"(263, 165, 174, 174)",N/A,N/A,No
2,15:54:32,"(266, 166, 168, 168)",N/A,N/A,No
2,15:54:32,"(267, 167, 169, 169)",N/A,N/A,No
2,15:54:32,"(264, 165, 171, 171)",N/A,N/A,No
2,15:54:32,"(269, 168, 166, 166)",N/A,N/A,No
2,15:54:32,"(273, 172, 157, 157)",N/A,N/A,No
2,15:54:32,"(268, 168, 168, 168)",N/A,N/A,No
2,15:54:32,"(266, 166, 171, 171)",N/A,N/A,No
2,15:54:32,"(269, 167, 166, 166)",N/A,N/A,No
2,15:54:32,"(266, 169, 168, 168)",N/A,N/A,No
2,15:54:32,"(269, 168, 166, 166)",N/A,N/A,No
2,15:54:32,"(266, 165, 171, 171)",N/A,N/A,No
2,15:54:32,"(268, 169, 162, 162)",N/A,N/A,No
2,15:54:32,"(272, 172, 158, 158)",N/A,N/A,No
2,15:54:32,"(264, 165, 174, 174)",N/A,N/A,No
2,15:54:32,"(267, 167, 169, 169)",N/A,N/A,No
2,15:54:32,"(267, 167, 169, 169)",N/A,N/A,No
2,15:54:32,"(265, 164, 170, 170)",N/A,N/A,No
2,15:54:33,"(264, 164, 174, 174)",N/A,N/A,No
2,15:54:33,"(269, 169, 164, 164)",N/A,N/A,No
2,15:54:33,"(265, 166, 168, 168)",N/A,N/A,No
2,15:54:33,"(269, 168, 166, 166)",N/A,N/A,No
2,15:54:33,"(269, 168, 166, 166)",N/A,N/A,No
2,15:54:33,"(264, 166, 171, 171)",N/A,N/A,No
2,15:54:33,"(267, 167, 169, 169)",N/A,N/A,No
2,15:54:33,"(262, 162, 176, 176)",N/A,N/A,No
2,15:54:33,"(263, 164, 171, 171)",N/A,N/A,No
2,15:54:33,"(265, 166, 171, 171)",N/A,N/A,No
2,15:54:33,"(268, 165, 168, 168)",N/A,N/A,No
2,15:54:33,"(266, 166, 171, 171)",N/A,N/A,No
2,15:54:33,"(268, 170, 164, 164)",N/A,N/A,No
2,15:54:33,"(263, 165, 174, 174)",N/A,N/A,No
2,15:54:33,"(265, 167, 169, 169)",N/A,N/A,No
2,15:54:33,"(265, 166, 168, 168)",N/A,N/A,No
2,15:54:33,"(257, 159, 181, 181)",N/A,N/A,No
2,15:54:33,"(266, 165, 166, 166)",N/A,N/A,No
2,15:54:33,"(258, 159, 180, 180)",N/A,N/A,No
2,15:54:33,"(261, 164, 174, 174)",N/A,N/A,No
2,15:54:33,"(261, 164, 174, 174)",N/A,N/A,No
2,15:54:33,"(263, 162, 172, 172)",N/A,N/A,No
2,15:54:33,"(262, 165, 174, 174)",N/A,N/A,No
2,15:54:33,"(264, 164, 172, 172)",N/A,N/A,No
2,15:54:33,"(258, 160, 177, 177)",N/A,N/A,No
2,15:54:33,"(259, 162, 175, 175)",N/A,N/A,No
2,15:54:33,"(259, 162, 175, 175)",N/A,N/A,No
2,15:54:34,"(259, 160, 174, 174)",N/A,N/A,No
2,15:54:34,"(258, 160, 177, 177)",N/A,N/A,No
2,15:54:34,"(260, 162, 174, 174)",N/A,N/A,No
2,15:54:34,"(262, 165, 170, 170)",N/A,N/A,No
2,15:54:34,"(255, 158, 181, 181)",N/A,N/A,No
2,15:54:34,"(262, 163, 170, 170)",N/A,N/A,No
2,15:54:34,"(260, 162, 174, 174)",N/A,N/A,No
2,15:54:34,"(266, 165, 164, 164)",N/A,N/A,No
2,15:54:34,"(261, 163, 172, 172)",N/A,N/A,No
2,15:54:34,"(260, 161, 174, 174)",N/A,N/A,No
2,15:54:34,"(262, 164, 171, 171)",N/A,N/A,No
2,15:54:34,"(260, 162, 174, 174)",N/A,N/A,No
2,15:54:34,"(266, 167, 164, 164)",N/A,N/A,No
2,15:54:34,"(262, 164, 170, 170)",N/A,N/A,No
2,15:54:34,"(263, 164, 169, 169)",N/A,N/A,No
2,15:54:34,"(260, 162, 171, 171)",N/A,N/A,No
2,15:54:34,"(262, 161, 172, 172)",N/A,N/A,No
2,15:54:34,"(260, 162, 174, 174)",N/A,N/A,No
2,15:54:34,"(264, 166, 166, 166)",N/A,N/A,No
2,15:54:34,"(265, 168, 168, 168)",N/A,N/A,No
2,15:54:34,"(261, 162, 171, 171)",N/A,N/A,No
2,15:54:34,"(258, 162, 180, 180)",N/A,N/A,No
2,15:54:34,"(264, 167, 165, 165)",N/A,N/A,No
2,15:54:34,"(263, 163, 168, 168)",N/A,N/A,No
2,15:54:34,"(265, 169, 162, 162)",N/A,N/A,No
2,15:54:34,"(263, 166, 167, 167)",N/A,N/A,No
2,15:54:35,"(262, 164, 170, 170)",N/A,N/A,No
2,15:54:35,"(264, 166, 167, 167)",N/A,N/A,No
2,15:54:35,"(259, 164, 177, 177)",N/A,N/A,No
2,15:54:35,"(257, 162, 176, 176)",N/A,N/A,No
2,15:54:35,"(262, 167, 166, 166)",N/A,N/A,No
2,15:54:35,"(253, 160, 182, 182)",N/A,N/A,No
2,15:54:35,"(262, 166, 170, 170)",N/A,N/A,No
2,15:54:35,"(257, 161, 178, 178)",N/A,N/A,No
2,15:54:35,"(260, 163, 174, 174)",N/A,N/A,No
2,15:54:35,"(260, 162, 175, 175)",N/A,N/A,No
2,15:54:35,"(257, 163, 177, 177)",N/A,N/A,No
2,15:54:35,"(256, 161, 178, 178)",N/A,N/A,No
2,15:54:35,"(260, 164, 174, 174)",N/A,N/A,No
2,15:54:35,"(262, 165, 171, 171)",N/A,N/A,No
2,15:54:35,"(258, 161, 174, 174)",N/A,N/A,No
2,15:54:35,"(260, 164, 171, 171)",N/A,N/A,No
2,15:54:35,"(262, 163, 170, 170)",N/A,N/A,No
2,15:54:35,"(260, 162, 172, 172)",N/A,N/A,No
2,15:54:35,"(260, 162, 172, 172)",N/A,N/A,No
2,15:54:35,"(258, 162, 176, 176)",N/A,N/A,No
2,15:54:35,"(261, 163, 174, 174)",N/A,N/A,No
2,15:54:35,"(262, 165, 174, 174)",N/A,N/A,No
2,15:54:35,"(259, 165, 174, 174)",N/A,N/A,No
2,15:54:35,"(261, 166, 169, 169)",N/A,N/A,No
2,15:54:35,"(261, 166, 176, 176)",N/A,N/A,No
2,15:54:35,"(260, 165, 174, 174)",N/A,N/A,No
2,15:54:36,"(256, 161, 182, 182)",N/A,N/A,No
2,15:54:36,"(258, 164, 177, 177)",N/A,N/A,No
2,15:54:36,"(260, 165, 175, 175)",N/A,N/A,No
2,15:54:36,"(254, 163, 179, 179)",N/A,N/A,No
2,15:54:36,"(259, 166, 175, 175)",N/A,N/A,No
2,15:54:36,"(255, 165, 176, 176)",N/A,N/A,No
2,15:54:36,"(252, 158, 187, 187)",N/A,N/A,No
2,15:54:36,"(252, 161, 184, 184)",N/A,N/A,No
2,15:54:36,"(253, 160, 186, 186)",N/A,N/A,No
2,15:54:36,"(253, 160, 186, 186)",N/A,N/A,No
2,15:54:36,"(250, 161, 188, 188)",N/A,N/A,No
2,15:54:36,"(247, 160, 191, 191)",N/A,N/A,No
2,15:54:36,"(261, 169, 172, 172)",N/A,N/A,No
2,15:54:36,"(254, 161, 184, 184)",N/A,N/A,No
2,15:54:36,"(259, 165, 177, 177)",N/A,N/A,No
2,15:54:36,"(257, 164, 176, 176)",N/A,N/A,No
2,15:54:36,"(258, 165, 171, 171)",N/A,N/A,No
2,15:54:36,"(259, 159, 174, 174)",N/A,N/A,No
2,15:54:36,"(258, 161, 176, 176)",N/A,N/A,No
2,15:54:36,"(256, 161, 176, 176)",N/A,N/A,No
2,15:54:36,"(257, 163, 172, 172)",N/A,N/A,No
2,15:54:36,"(255, 162, 175, 175)",N/A,N/A,No
2,15:54:36,"(245, 152, 185, 185)",N/A,N/A,No
2,15:54:36,"(246, 156, 188, 188)",N/A,N/A,No
2,15:54:36,"(252, 164, 196, 196)",N/A,N/A,No
2,15:54:38,"(247, 194, 166, 166)",N/A,N/A,No
2,15:54:38,"(247, 194, 166, 166)",N/A,N/A,No
